title,artist,link
Portrait of a Woman (Carole Danielson) (1964),Kirkland Main,https://collections.ed.ac.uk/art/record/21168?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20667?highlight=*:*
Untitled - Abstract Blue and Green Squares (1994),Roger Elliot,https://collections.ed.ac.uk/art/record/99461?highlight=*:*
Portrait of a Seated Man (MAY 1960),John Gilbert,https://collections.ed.ac.uk/art/record/20996?highlight=*:*
Self Portrait (1950),William James Laidlaw Baillie,https://collections.ed.ac.uk/art/record/21361?highlight=*:*
Chariot from North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20714?highlight=*:*
Untitled,NA,https://collections.ed.ac.uk/art/record/111044?highlight=*:*
Untitled - Three Figures At the Opera (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99344?highlight=*:*
Small black figure with long wavy hair,Unknown,https://collections.ed.ac.uk/art/record/20546?highlight=*:*
Untitled (1967),Arthur J Baglee,https://collections.ed.ac.uk/art/record/99380?highlight=*:*
Vojna Tajna (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22471?highlight=*:*
Portrait of a Woman (1939-1940),James Gordon,https://collections.ed.ac.uk/art/record/21097?highlight=*:*
Espresso Cup (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/53699?highlight=*:*
Untitled - Nude Male in the Forest (1963),Leonore D Mackay,https://collections.ed.ac.uk/art/record/99395?highlight=*:*
Portrait in Green,Claudia Petretti,https://collections.ed.ac.uk/art/record/21438?highlight=*:*
Opera - Vienna (1963-1964),Leslie Allan,https://collections.ed.ac.uk/art/record/99384?highlight=*:*
Portrait of a Man,Jeffery S. Firth,https://collections.ed.ac.uk/art/record/21327?highlight=*:*
Untitled (1967),Helen Pollock,https://collections.ed.ac.uk/art/record/112446?highlight=*:*
Train Station,T Honeyman,https://collections.ed.ac.uk/art/record/21463?highlight=*:*
Kneeling Male Nude (1953),George Hamilton,https://collections.ed.ac.uk/art/record/20932?highlight=*:*
Crow in Black Spectacles,Michael Orthenstein,https://collections.ed.ac.uk/art/record/122251?highlight=*:*
Isabella of Aragon (broken) (Post 1912),Unknown,https://collections.ed.ac.uk/art/record/20532?highlight=*:*
Reclining Female Nude (1948),Victorine Anne Schilsky,https://collections.ed.ac.uk/art/record/20831?highlight=*:*
Seated Man in Traditional Dress (Undated but found amongst collection of ECA Diploma works from 1960s.),Barreton,https://collections.ed.ac.uk/art/record/21290?highlight=*:*
Performing Labour in an Industrial Setting III (2020),Aisling Ward,https://collections.ed.ac.uk/art/record/113777?highlight=*:*
Man in a Suit Seated on a Stool (1959),Albert Robson,https://collections.ed.ac.uk/art/record/20785?highlight=*:*
Step 4 (2013),Maria Hadam,https://collections.ed.ac.uk/art/record/21309?highlight=*:*
Thurs 2nd Sept '82 Along from Rialto (02 Sep 1982),Moira A Edmondston,https://collections.ed.ac.uk/art/record/99431?highlight=*:*
Anat (1966),Norman Orr,https://collections.ed.ac.uk/art/record/99405?highlight=*:*
Untitled - Two Girls On a Walk (1987),Susan Jane Mowatt,https://collections.ed.ac.uk/art/record/99414?highlight=*:*
Untitled (Unknown),David C Duke,https://collections.ed.ac.uk/art/record/21986?highlight=*:*
Brazie (1969),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/21701?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21994?highlight=*:*
Portrait of a Bearded Man (1960),Elise Brown,https://collections.ed.ac.uk/art/record/20977?highlight=*:*
Replica cast (white) of Parthenon slab GE31,Unknown,https://collections.ed.ac.uk/art/record/20655?highlight=*:*
Portrait of a Man (1966),James Fairgrieve,https://collections.ed.ac.uk/art/record/21398?highlight=*:*
Two Men on a Train (12 JUN 1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/20856?highlight=*:*
Untitled (1966),Gillian Mather,https://collections.ed.ac.uk/art/record/22002?highlight=*:*
Kneeling Male Nude (1965-1966),George Donald,https://collections.ed.ac.uk/art/record/21174?highlight=*:*
Standing Male Nude (1939-1940),Eleanora Borrie,https://collections.ed.ac.uk/art/record/21133?highlight=*:*
Don Juan (1983),Boris Bućan,https://collections.ed.ac.uk/art/record/22038?highlight=*:*
Two Boxes on Pink (Circa 1968),Maureen Marshall,https://collections.ed.ac.uk/art/record/22563?highlight=*:*
Frieze from the Temple of Athena Nike (2nd right) (1827),NA,https://collections.ed.ac.uk/art/record/20627?highlight=*:*
Portrait of a Woman with Teacup (1962),Leslie Johns,https://collections.ed.ac.uk/art/record/21264?highlight=*:*
Untitled - Old Woman (1965-1966),Norman Orr,https://collections.ed.ac.uk/art/record/99406?highlight=*:*
